pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Branched-chain amino acid catabolism,Reactome,1,IVD,17 (17),0.0311,1,1,C00025,36 (36),0.254,0.98,0.0461,0.162
Abacavir transport and metabolism,Reactome,0,,10 (10),1,1,2,C00020;C00130,17 (24),0.00795,0.0916,0.0464,0.162
Biogenic Amine Synthesis,Wikipathways,0,,15 (15),1,1,2,C00025;C00135,17 (17),0.00795,0.0916,0.0464,0.162
4-hydroxybenzoate biosynthesis,HumanCyc,0,,1 (1),1,1,2,C00020;C00025,17 (17),0.00795,0.0916,0.0464,0.162
Transport of glycerol from adipocytes to the liver by Aquaporins,Reactome,0,,2 (5),1,1,1,C00116,1 (1),0.00806,0.0921,0.0469,0.163
Lysine metabolism,EHMN,0,,61 (62),1,1,3,C00020;C00047;C00025,53 (53),0.00851,0.0968,0.0491,0.17
gluconeogenesis,HumanCyc,1,PGK2,26 (27),0.0472,1,1,C00197,25 (26),0.184,0.767,0.0499,0.171
Gamma-glutamyl-transpeptidase deficiency,SMPDB,0,,11 (11),1,1,2,C00025;C00097,18 (18),0.0089,0.0984,0.0509,0.171
5-oxoprolinase deficiency,SMPDB,0,,11 (11),1,1,2,C00025;C00097,18 (18),0.0089,0.0984,0.0509,0.171
Gamma-Glutamyltransferase Deficiency,SMPDB,0,,11 (11),1,1,2,C00025;C00097,18 (18),0.0089,0.0984,0.0509,0.171
Glutathione Metabolism,SMPDB,0,,11 (11),1,1,2,C00025;C00097,18 (18),0.0089,0.0984,0.0509,0.171
Glutathione Synthetase Deficiency,SMPDB,0,,11 (11),1,1,2,C00025;C00097,18 (18),0.0089,0.0984,0.0509,0.171
5-Oxoprolinuria,SMPDB,0,,11 (11),1,1,2,C00025;C00097,18 (18),0.0089,0.0984,0.0509,0.171
serine and glycine biosynthesis,HumanCyc,0,,8 (8),1,1,2,C00197;C00025,18 (18),0.0089,0.0984,0.0509,0.171
Glutathione metabolism,Wikipathways,0,,20 (20),1,1,2,C00025;C00097,18 (18),0.0089,0.0984,0.0509,0.171
Glycosphingolipid metabolism,EHMN,0,,69 (69),1,1,3,C00031;C00836;C00346,55 (55),0.00943,0.104,0.0534,0.175
Tyrosine metabolism,EHMN,0,,105 (110),1,1,4,C00020;C00041;C00025;C00097,105 (105),0.00945,0.104,0.0535,0.175
Purine metabolism - Homo sapiens (human),KEGG,0,,170 (176),1,1,4,C00385;C00020;C00130;C00366,92 (92),0.00595,0.0715,0.0364,0.134
Fatty Acid Biosynthesis,SMPDB,0,,2 (2),1,1,2,C01571;C06423,19 (31),0.0099,0.108,0.0556,0.175
Pyrimidine metabolism,Reactome,0,,25 (25),1,1,3,C00106;C00041;C00025,56 (57),0.00991,0.108,0.0556,0.175
Warburg Effect,SMPDB,0,,45 (45),1,1,3,C00158;C00031;C00025,56 (56),0.00991,0.108,0.0556,0.175
Glycolysis and Gluconeogenesis,Wikipathways,1,PGK2,49 (49),0.0872,1,1,C00031,15 (16),0.115,0.54,0.056,0.175
Defective ALG2 causes ALG2-CDG (CDG-1i),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2,Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective ALG1 causes ALG1-CDG (CDG-1k),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective ALG11 causes ALG11-CDG (CDG-1p),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Asparagine N-linked glycosylation,Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective RFT1 causes RFT1-CDG (CDG-1n),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective MPDU1 causes MPDU1-CDG (CDG-1f),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective ALG8 causes ALG8-CDG (CDG-1h),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective ALG6 causes ALG6-CDG (CDG-1c),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective ALG14 causes congenital myasthenic syndrome (ALG14-CMS),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Diseases associated with N-glycosylation of proteins,Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective ALG9 causes ALG9-CDG (CDG-1l),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective ALG3 causes ALG3-CDG (CDG-1d),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective ALG12 causes ALG12-CDG (CDG-1g),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective MAN1B1 causes MRT15,Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective MGAT2 causes MGAT2-CDG (CDG-2a),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Defective MOGS causes MOGS-CDG (CDG-2b),Reactome,2,SEC24C;SEC13,119 (122),0.0202,1,1,C00025,84 (94),0.497,1,0.0562,0.175
Retrograde endocannabinoid signaling - Homo sapiens (human),KEGG,0,,94 (103),1,1,2,C00116;C00025,19 (19),0.0099,0.108,0.0556,0.175
GABAergic synapse - Homo sapiens (human),KEGG,1,GLS,84 (90),0.145,1,1,C00025,9 (9),0.0703,0.401,0.057,0.177
Cysteine and methionine metabolism - Homo sapiens (human),KEGG,0,,37 (38),1,1,3,C00041;C00097;C00170,57 (57),0.0104,0.113,0.0579,0.179
Nonhomologous End-joining (NHEJ),Reactome,1,XRCC6,6 (6),0.0111,1,0,,2 (2),1,1,0.061,0.187
Glyoxylate and dicarboxylate metabolism - Homo sapiens (human),KEGG,0,,25 (25),1,1,3,C00158;C00197;C00025,58 (58),0.0109,0.118,0.0602,0.185
lysine degradation II (pipecolate pathway),HumanCyc,0,,6 (6),1,1,2,C00025;C00047,21 (21),0.012,0.128,0.0652,0.197
Pantothenate and CoA Biosynthesis,SMPDB,0,,6 (6),1,1,2,C00020;C00097,21 (21),0.012,0.128,0.0652,0.197
Lysine catabolism,Reactome,0,,8 (8),1,1,2,C00047;C00025,21 (21),0.012,0.128,0.0652,0.197
Vitamin B5 - CoA biosynthesis from pantothenate,EHMN,0,,31 (32),1,1,2,C00020;C00097,21 (21),0.012,0.128,0.0652,0.197
Pyruvate Dehydrogenase Complex Deficiency,SMPDB,1,ACSS2,22 (22),0.0401,1,1,C00020,46 (46),0.312,1,0.0674,0.2
Primary hyperoxaluria II_ PH2,SMPDB,1,ACSS2,22 (22),0.0401,1,1,C00020,46 (46),0.312,1,0.0674,0.2
Pyruvate kinase deficiency,SMPDB,1,ACSS2,22 (22),0.0401,1,1,C00020,46 (46),0.312,1,0.0674,0.2
Leigh Syndrome,SMPDB,1,ACSS2,22 (22),0.0401,1,1,C00020,46 (46),0.312,1,0.0674,0.2
Pyruvate Metabolism,SMPDB,1,ACSS2,22 (22),0.0401,1,1,C00020,46 (46),0.312,1,0.0674,0.2
Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency),SMPDB,1,ACSS2,22 (22),0.0401,1,1,C00020,46 (46),0.312,1,0.0674,0.2
Fatty Acid Beta Oxidation,Wikipathways,1,ACSS2,34 (34),0.0613,1,1,C00116,29 (32),0.21,0.847,0.0689,0.204
Hemostasis,Reactome,0,,471 (501),1,1,3,C00020;C00327;C00116,62 (63),0.0131,0.139,0.0698,0.206
Transfer of Acetyl Groups into Mitochondria,SMPDB,0,,9 (9),1,1,2,C00158;C00031,22 (22),0.0132,0.139,0.0702,0.207
Iron uptake and transport,Wikipathways,0,,0 (0),1,1,2,C00020;C00366,29 (31),0.0224,0.215,0.0224,0.215
Passive Transport by Aquaporins,Wikipathways,0,,0 (0),1,1,1,C00116,3 (3),0.024,0.219,0.024,0.219
Rilpivirine Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,3 (3),0.024,0.219,0.024,0.219
ISG15 antiviral mechanism,Wikipathways,0,,0 (0),1,1,1,C00020,3 (3),0.024,0.219,0.024,0.219
SUMOylation,Wikipathways,0,,0 (0),1,1,1,C00020,3 (3),0.024,0.219,0.024,0.219
Glutamatergic synapse - Homo sapiens (human),KEGG,1,GLS,106 (116),0.18,1,1,C00025,8 (8),0.0628,0.379,0.0618,0.189
Ion channel transport,Reactome,0,,162 (173),1,1,2,C00020;C00366,23 (24),0.0144,0.151,0.0753,0.221
Recycling of bile acids and salts,Reactome,0,,15 (16),1,1,2,C00020;C00245,24 (24),0.0156,0.163,0.0804,0.234
Phenylalanine and tyrosine catabolism,Reactome,0,,9 (10),1,1,2,C00041;C00025,24 (24),0.0156,0.163,0.0804,0.234
AMPK signaling pathway - Homo sapiens (human),KEGG,0,,121 (124),1,1,2,C00020;C00031,23 (23),0.0144,0.151,0.0753,0.221
Deadenylation of mRNA,Reactome,0,,31 (32),1,1,1,C00020,2 (3),0.0161,0.166,0.0824,0.238
Presynaptic function of Kainate receptors,Reactome,0,,19 (21),1,1,1,C00025,2 (2),0.0161,0.166,0.0824,0.238
basic mechanisms of sumoylation,BioCarta,0,,6 (7),1,1,1,C00020,2 (2),0.0161,0.166,0.0824,0.238
Fatty acid_ triacylglycerol_ and ketone body metabolism,Wikipathways,0,,0 (0),1,1,3,C00158;C00020;C00116,81 (89),0.0266,0.239,0.0266,0.239
Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human),KEGG,0,,146 (151),1,1,1,C00031,2 (2),0.0161,0.166,0.0824,0.238
Lysine Degradation,SMPDB,0,,13 (13),1,1,2,C00047;C00025,25 (27),0.0169,0.169,0.0857,0.24
Hyperlysinemia I_ Familial,SMPDB,0,,13 (13),1,1,2,C00047;C00025,25 (27),0.0169,0.169,0.0857,0.24
2-aminoadipic 2-oxoadipic aciduria,SMPDB,0,,13 (13),1,1,2,C00047;C00025,25 (27),0.0169,0.169,0.0857,0.24
Pyridoxine dependency with seizures,SMPDB,0,,13 (13),1,1,2,C00047;C00025,25 (27),0.0169,0.169,0.0857,0.24
Saccharopinuria/Hyperlysinemia II,SMPDB,0,,13 (13),1,1,2,C00047;C00025,25 (27),0.0169,0.169,0.0857,0.24
Hyperlysinemia II or Saccharopinuria,SMPDB,0,,13 (13),1,1,2,C00047;C00025,25 (27),0.0169,0.169,0.0857,0.24
methionine salvage cycle III,HumanCyc,0,,10 (10),1,1,2,C00170;C00315,25 (25),0.0169,0.169,0.0857,0.24
Tryptophan catabolism,Reactome,0,,11 (13),1,1,2,C00041;C00025,25 (26),0.0169,0.169,0.0857,0.24
Glutaric Aciduria Type III,SMPDB,0,,13 (13),1,1,2,C00047;C00025,25 (27),0.0169,0.169,0.0857,0.24
Neurotransmitter Release Cycle,Reactome,1,GLS,43 (44),0.0769,1,1,C00025,31 (31),0.223,0.892,0.0868,0.243
Organic cation transport,Reactome,0,,8 (8),1,1,2,C00315;C00791,26 (29),0.0182,0.181,0.091,0.253
Degradation of cysteine and homocysteine,Reactome,0,,8 (8),1,1,2,C00245;C00097,26 (29),0.0182,0.181,0.091,0.253
Glycerophospholipid Biosynthetic Pathway,Wikipathways,0,,0 (0),1,1,2,C00116;C00346,35 (51),0.0318,0.26,0.0318,0.26
Methylhistidine Metabolism,SMPDB,0,,0 (0),1,1,1,C00135,4 (4),0.0319,0.26,0.0319,0.26
Zidovudine Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Zalcitabine Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Stavudine Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Nevirapine  Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Lamivudine  Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Emtricitabine Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Efavirenz Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Abacavir Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Didanosine Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Delavirdine Action Pathway,SMPDB,0,,0 (0),1,1,1,C00020,4 (4),0.0319,0.26,0.0319,0.26
Sphingolipid metabolism - Homo sapiens (human),KEGG,0,,46 (47),1,1,2,C00836;C00346,25 (25),0.0169,0.169,0.0857,0.24
Fatty Acyl-CoA Biosynthesis,Reactome,0,,21 (22),1,1,2,C00158;C00020,27 (30),0.0195,0.193,0.0964,0.264
Nicotinate metabolism,Reactome,0,,11 (12),1,1,2,C00020;C00025,27 (27),0.0195,0.193,0.0964,0.264
3-Methylglutaconic Aciduria Type I,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Valine_ Leucine and Isoleucine Degradation,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Isovaleric Aciduria,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
3-Methylcrotonyl Coa Carboxylase Deficiency Type I,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Propionic Acidemia,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Maple Syrup Urine Disease,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Isobutyryl-coa dehydrogenase deficiency,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
3-hydroxyisobutyric aciduria,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
3-hydroxyisobutyric acid dehydrogenase deficiency,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Isovaleric acidemia,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Methylmalonate Semialdehyde Dehydrogenase Deficiency,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Methylmalonic Aciduria,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
3-Methylglutaconic Aciduria Type IV,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
3-Methylglutaconic Aciduria Type III,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Beta-Ketothiolase Deficiency,SMPDB,1,IVD,30 (30),0.0543,1,1,C00025,58 (58),0.377,1,0.1,0.264
Phenylalanine and Tyrosine Metabolism,SMPDB,0,,11 (11),1,1,2,C00020;C00025,28 (28),0.0209,0.202,0.102,0.264
Phenylketonuria,SMPDB,0,,11 (11),1,1,2,C00020;C00025,28 (28),0.0209,0.202,0.102,0.264
Selenoamino Acid Metabolism,SMPDB,0,,11 (12),1,1,2,C00020;C00041,28 (28),0.0209,0.202,0.102,0.264
Tyrosinemia Type 3 (TYRO3),SMPDB,0,,11 (11),1,1,2,C00020;C00025,28 (28),0.0209,0.202,0.102,0.264
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),SMPDB,0,,11 (11),1,1,2,C00020;C00025,28 (28),0.0209,0.202,0.102,0.264
Carbohydrate digestion and absorption - Homo sapiens (human),KEGG,0,,45 (45),1,1,2,C00031;C01835,27 (27),0.0195,0.193,0.0964,0.264
Glycerolipid metabolism - Homo sapiens (human),KEGG,0,,55 (55),1,1,2,C00116;C00197,28 (28),0.0209,0.202,0.102,0.264
Pantothenate and CoA biosynthesis - Homo sapiens (human),KEGG,0,,17 (17),1,1,2,C00106;C00097,28 (28),0.0209,0.202,0.102,0.264
Pyrimidine metabolism,EHMN,0,,134 (139),1,1,3,C00020;C00106;C00025,77 (77),0.0233,0.219,0.111,0.282
Metabolism of lipids and lipoproteins,Reactome,0,,497 (516),1,1,7,C00158;C00116;C00245;C00020;C00025;C00836;C00346,365 (447),0.0237,0.219,0.112,0.282
L-kynurenine degradation,HumanCyc,0,,13 (15),1,1,2,C00041;C00025,30 (30),0.0238,0.219,0.113,0.282
DNA-PK pathway in nonhomologous end joining,PID,1,XRCC6,13 (13),0.0239,1,0,,1 (1),1,1,0.113,0.282
Antiviral mechanism by IFN-stimulated genes,Reactome,0,,40 (40),1,1,1,C00020,3 (4),0.024,0.219,0.114,0.282
Cleavage of the damaged pyrimidine ,Reactome,0,,6 (6),1,1,1,C00106,3 (8),0.024,0.219,0.114,0.282
Sulfur metabolism - Homo sapiens (human),KEGG,0,,9 (10),1,1,2,C00245;C00097,29 (29),0.0224,0.215,0.107,0.278
Activation of Ca-permeable Kainate Receptor,Reactome,0,,12 (12),1,1,1,C00025,3 (3),0.024,0.219,0.114,0.282
AMPK inhibits chREBP transcriptional activation activity,Reactome,0,,5 (5),1,1,1,C00020,3 (3),0.024,0.219,0.114,0.282
Activation of Na-permeable Kainate Receptors,Reactome,0,,2 (2),1,1,1,C00025,3 (3),0.024,0.219,0.114,0.282
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,Reactome,0,,10 (10),1,1,1,C00020,3 (3),0.024,0.219,0.114,0.282
Processing and activation of SUMO,Reactome,0,,9 (10),1,1,1,C00020,3 (3),0.024,0.219,0.114,0.282
Activation of AMPA receptors,Reactome,0,,2 (4),1,1,1,C00025,3 (3),0.024,0.219,0.114,0.282
Depyrimidination,Reactome,0,,6 (6),1,1,1,C00106,3 (8),0.024,0.219,0.114,0.282
SUMO is conjugated to E1 (UBA2:SAE1),Reactome,0,,5 (6),1,1,1,C00020,3 (3),0.024,0.219,0.114,0.282
ISG15 antiviral mechanism,Reactome,0,,40 (40),1,1,1,C00020,3 (4),0.024,0.219,0.114,0.282
SUMOylation,Reactome,0,,9 (10),1,1,1,C00020,3 (3),0.024,0.219,0.114,0.282
Tryptophan metabolism,EHMN,0,,22 (22),1,1,3,C00020;C00041;C00025,78 (78),0.0241,0.219,0.114,0.282
The citric acid (TCA) cycle and respiratory electron transport,Wikipathways,0,,0 (0),1,1,2,C00158;C00989,37 (37),0.0352,0.283,0.0352,0.283
Sphingolipid de novo biosynthesis,Reactome,0,,32 (33),1,1,2,C00836;C00346,31 (31),0.0253,0.229,0.119,0.292
Purine salvage,Reactome,0,,13 (14),1,1,2,C00020;C00130,31 (32),0.0253,0.229,0.119,0.292
IRF3-mediated induction of type I IFN,Reactome,1,XRCC6,14 (14),0.0257,1,0,,5 (7),1,1,0.12,0.293
telomeres telomerase cellular aging and immortality,BioCarta,1,XRCC6,14 (15),0.0257,1,0,,3 (3),1,1,0.12,0.293
Early Phase of HIV Life Cycle,Reactome,1,XRCC6,14 (16),0.0257,1,0,,5 (5),1,1,0.12,0.293
Amino acid conjugation,Wikipathways,0,,0 (0),1,1,1,C00245,5 (5),0.0397,0.3,0.0397,0.3
Eukaryotic Translation Elongation,Reactome,2,EEF1D;RPL9,138 (148),0.0266,1,0,,24 (25),1,1,0.123,0.301
Huntington_s disease - Homo sapiens (human),KEGG,0,,190 (193),1,1,1,C00025,3 (3),0.024,0.219,0.114,0.282
Propanoate metabolism,EHMN,0,,18 (18),1,1,2,C00158;C00020,33 (33),0.0285,0.255,0.13,0.316
Fatty acid_ triacylglycerol_ and ketone body metabolism,Reactome,0,,94 (96),1,1,3,C00158;C00020;C00116,85 (91),0.0301,0.26,0.136,0.325
STING mediated induction of host immune responses,Reactome,1,XRCC6,17 (17),0.0311,1,0,,7 (9),1,1,0.139,0.325
Nicotinate and Nicotinamide Metabolism,SMPDB,0,,14 (14),1,1,2,C00020;C00025,35 (35),0.0318,0.26,0.141,0.325
putrescine biosynthesis I,HumanCyc,0,,1 (1),1,1,1,C00077,4 (4),0.0319,0.26,0.142,0.325
Mitochondrial biogenesis,Reactome,0,,26 (28),1,1,1,C00020,4 (4),0.0319,0.26,0.142,0.325
Butirosin and neomycin biosynthesis - Homo sapiens (human),KEGG,0,,5 (5),1,1,2,C00031;C00025,33 (33),0.0285,0.255,0.13,0.316
Pancreas Function,SMPDB,0,,6 (6),1,1,1,C00031,4 (4),0.0319,0.26,0.142,0.325
hydrogen sulfide biosynthesis (trans-sulfuration),HumanCyc,0,,2 (3),1,1,1,C00097,4 (6),0.0319,0.26,0.142,0.325
Processive synthesis on the lagging strand,Reactome,0,,16 (16),1,1,1,C00020,4 (4),0.0319,0.26,0.142,0.325
<i>S</i>-methyl-5_-thioadenosine degradation,HumanCyc,0,,1 (1),1,1,1,C00170,4 (4),0.0319,0.26,0.142,0.325
Ionotropic activity of Kainate Receptors,Reactome,0,,12 (12),1,1,1,C00025,4 (4),0.0319,0.26,0.142,0.325
glutamate dependent acid resistance,HumanCyc,0,,3 (3),1,1,1,C00025,4 (4),0.0319,0.26,0.142,0.325
Ribosome biogenesis in eukaryotes - Homo sapiens (human),KEGG,1,REXO2,81 (84),0.14,1,0,,0 (0),1,1,0.14,1
aspartate biosynthesis,HumanCyc,0,,2 (2),1,1,1,C00025,4 (4),0.0319,0.26,0.142,0.325
Activation of Kainate Receptors upon glutamate binding,Reactome,0,,30 (32),1,1,1,C00025,4 (4),0.0319,0.26,0.142,0.325
Antigen processing: Ubiquitination & Proteasome degradation,Reactome,0,,163 (178),1,1,1,C00020,4 (4),0.0319,0.26,0.142,0.325
Removal of the Flap Intermediate,Reactome,0,,14 (14),1,1,1,C00020,4 (4),0.0319,0.26,0.142,0.325
histamine biosynthesis,HumanCyc,0,,1 (1),1,1,1,C00135,4 (4),0.0319,0.26,0.142,0.325
Type II diabetes mellitus,Wikipathways,0,,21 (21),1,1,1,C00031,4 (4),0.0319,0.26,0.142,0.325
Sodium-coupled sulphate_ di- and tri-carboxylate transporters,Reactome,0,,5 (6),1,1,1,C00158,4 (4),0.0319,0.26,0.142,0.325
TCA Cycle Nutrient Utilization and Invasiveness of Ovarian Cancer,Wikipathways,0,,5 (5),1,1,1,C00031,4 (4),0.0319,0.26,0.142,0.325
Class II GLUTs,Reactome,0,,4 (4),1,1,1,C00366,4 (4),0.0319,0.26,0.142,0.325
regulators of bone mineralization,BioCarta,0,,11 (11),1,1,1,C00020,4 (4),0.0319,0.26,0.142,0.325
no2-dependent il-12 pathway in nk cells,BioCarta,0,,8 (9),1,1,1,C00327,4 (4),0.0319,0.26,0.142,0.325
Cam-PDE 1 activation,Reactome,0,,4 (6),1,1,1,C00020,4 (4),0.0319,0.26,0.142,0.325
glycine biosynthesis,HumanCyc,0,,2 (2),1,1,1,C00041,4 (4),0.0319,0.26,0.142,0.325
superpathway of methionine degradation,HumanCyc,0,,19 (20),1,1,2,C00025;C00097,36 (36),0.0335,0.27,0.147,0.326
Butanoate metabolism,EHMN,0,,24 (24),1,1,2,C00020;C00025,36 (36),0.0335,0.27,0.147,0.326
Vitamin B3 (nicotinate and nicotinamide) metabolism,EHMN,0,,47 (47),1,1,2,C00020;C00025,36 (36),0.0335,0.27,0.147,0.326
Galactose Metabolism,SMPDB,0,,13 (13),1,1,2,C00116;C00031,36 (36),0.0335,0.27,0.147,0.326
Galactosemia,SMPDB,0,,13 (13),1,1,2,C00116;C00031,36 (36),0.0335,0.27,0.147,0.326
Phase 1 - Functionalization of compounds,Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP27A1 causes Cerebrotendinous xanthomatosis (CTX),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP1B1 causes Glaucoma,Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP4F22 causes Ichthyosis_ congenital_ autosomal recessive 5 (ARCI5),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP11B2 causes Corticosterone methyloxidase 1 deficiency (CMO-1 deficiency),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP24A1 causes Hypercalcemia_ infantile (HCAI),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective MAOA causes Brunner syndrome (BRUNS),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP7B1 causes Spastic paraplegia 5A_ autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective FMO3 causes Trimethylaminuria (TMAU),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP11A1 causes Adrenal insufficiency_ congenital_ with 46_XY sex reversal (AICSR),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP19A1 causes Aromatase excess syndrome (AEXS),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA),Reactome,1,ACSS2,73 (80),0.127,1,2,C00020;C00315,126 (151),0.27,1,0.15,0.326
